key,date,c_type,c_title,c_isn,c_isn_valid,c_publisher_std,c_publisher_major,c_apc_model,c_apc_value,c_apc_currency,c_indexing,e_type,e_date,t_update,t_regenerate,t_certainly,t_langmod,t_access,t_first_person,t_second_person,t_recent
huaxin2019,2019-01-03,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
hussain2023,2023-06-30,Journal,Journal for Current Sign,3006-1504,Confirmed,NA,0,Full,50000,PKR,NA,NA,NA,0,0,1,0,0,0,0,0
ibadullayevich2024,2024-01-12,Journal,Journal of New Century Innovations,2181-368X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
ibadullayevich2024a,2024-01-04,Journal,Eurasian Research Bulletin,2795-7675,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,0
ibragimova2023,2023-12-15,Journal,Interpretation and Researches,2181-4163,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
ibrahim2023,2023-08-02,Journal,Jurnal Al-Qardh,2354-6034,Confirmed,NA,0,None,NA,NA,DOAJ; Dimensions,NA,NA,1,0,0,0,0,1,0,1
ihsan2023,2023-09-28,Conference,International Conference on Islamic and Muhammadiyah Studies,978-2-38476-102-9,Confirmed,Springer,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
ilhomovna2024,2024-01-28,Journal,Galaxy International Interdisciplinary Research Journal,2347-6915,Confirmed,NA,0,Full,20,USD,NA,NA,NA,1,0,0,0,0,1,0,1
insan2023,2023-12-25,Journal,Proceeding Virtual English Education Students Conference,2986-2442,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
isachesku2023,2023-11-14,Journal,International Journal of Molecuar Sciences,1422-0067,Confirmed,MDPI,1,Full,2900,CHF,DOAJ; PubMed Central; Medline; Dimensions; Scopus; Web of Science; Embase; ProQuest; DOE PAGES,NA,NA,1,0,0,0,0,1,0,0
ismail2021,2021-12-01,Journal,International Journal of Humanities and Language Research,2785-9681,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,1,0,0,0,1,1,1,0
ismat2023,2023-08-29,Journal,Bulletin of Business and Economics,2414-1771,Confirmed,NA,0,Full,250,USD,Dimensions,NA,NA,0,0,1,0,0,0,1,0
isroilov2024,2024-02-29,Journal,"Eurasian Journal of Law, Finance and Applied Sciences",2181-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
issalh2023,2023-12-02,Journal,Scientific Journal of Metaverse and Blockchain Technologies,2584-2110,Provisional,NA,0,Full,150,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
istian2024,2024-01-27,Journal,"Journal of Economics, Education, Business and Managements",2985-5160,Confirmed,NA,0,Full,300000,IDR,NA,NA,NA,1,0,0,0,0,1,0,0
izarova2023,2023-11-01,Journal,Access to Justice in Eastern Europe,2663-0583,Confirmed,NA,0,Full,1920,EUR,Web of Science; Scopus; DOAJ; Dimensions,NA,NA,0,0,1,0,0,0,0,0
jadhav2024,2024-04-18,Journal,International Research Journal on Advanced Engineering Hub,2584-2137,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
jadoon2023,2023-12-19,Journal,Austin Journal of Nursing & Health Care,2375-2483,Confirmed,NA,0,Unknown,NA,NA,Dimensions,NA,NA,0,0,1,0,0,0,0,0
jagaty2023,2023,Journal,ANWESHAN,2582-1504,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
jain2023,2023-07-01,Journal,International Journal of Multidisciplinary Trends,2709-9350,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
jain2024,2024-04,Journal,International Research Journal of Humanities and Interdisciplinary Studies,2582-8568,Confirmed,NA,0,Full,20,USD,NA,NA,NA,0,0,1,0,0,0,0,0
jairu2023,2023-12,Journal,Food and Scientific Reports,2582-5437,Confirmed,NA,0,Full,3,USD,NA,NA,NA,0,0,1,0,0,0,0,0
jamali2023,2023-09-26,Journal,Journal of Population Therapeutics & Clinical Pharmacology,2561-8741,Confirmed,NA,0,Full,850,USD,Dimensions; Medline (discontinued); Web of Science; Scopus (discontinued); Embase,NA,NA,1,0,0,0,0,1,0,1
jambhulkar2023,2023-08-25,Conference,Asian Conference on Innovation in Technology,9798350302288,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
jaradat2023,2023-11-15,Journal,Cluj University Journal Interdisciplinary Social Sciences and Humanities,3008-4822,Confirmed,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
jarinaa2023,2023-12-20,Journal,Recent Trends in Data Mining and Business Forecasting,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
jayadatta2023,2023-12,Journal,Journal of Applied Information Science,2321-6115,Confirmed,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
jayapradha2023,2023-11,Conference,"IEEE International Conference on System, Computation, Automation and Networking",9798350315127,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
jayapraksh2024,2024-05-11,Journal,Educational Administration: Theory and Practice,1300-4832,Confirmed,NA,0,Full,1000,USD,Scopus (discontinued); Dimensions,NA,NA,1,0,0,0,0,1,0,0
jengisbayqizi2024,2024-04-06,Journal,World of Scientific news in Science,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
jiang2023,2023-01-03,Journal,"International Journal of Sports, Yoga and Physical Activity",3005-5083,Confirmed,NA,0,Full,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
jivani2023,2023-12-04,Conference,IEEE Globecom Workshops,9798350370218,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
jocelyn2024,2024-02-14,Journal,Frontiers in Public Health,2296-2565,Confirmed,Frontiers,1,Full,3495,USD,PubMed Central; Medline; Web of Science; Scopus; DOAJ,NA,NA,1,0,0,0,0,1,0,0
johnson2022,2022-07-04,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
joshi2023,2023,Journal,World Journal of Pharmaceutical Research,2277-7105,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
joshi2023a,2023-11,Journal,Mahratta,2581-9879,Confirmed,NA,0,Full,750,INR,NA,NA,NA,1,0,0,0,0,1,0,1
joteppa2024,2024-02-29,Journal,Revue d'Intelligence Artificielle,0992-499X,Confirmed,NA,0,Full,600,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,1
kadam2024,2024-03,Journal,Indian Journal of Technical Education,0971-3034,Confirmed,NA,0,Full,2500,INR,NA,NA,NA,1,0,0,0,0,1,0,1
kadhim2023,2023-05-09,Journal,"International Journal of Linguistics, Literature and Translation",2617-0299,Confirmed,NA,0,Full,150,USD,Dimensions,NA,NA,0,1,0,0,0,0,0,0
kadiri2023,2023-02-23,Journal,Ekonometria,2449-9994,Confirmed,NA,0,Full,300,PLN,NA,NA,NA,1,0,0,0,0,0,0,1
kamal2023,2023-08-22,Journal,Networks and Heterogenous Media,1556-1801,Confirmed,NA,0,Full,1000,USD,Dimensions; Web of Science; Scopus; Compendex,NA,NA,1,0,0,0,0,1,0,1
kamal2023a,2023-10-24,Journal,Iraqi Journal for Computer Science and Mathematics,2788-7421,Confirmed,NA,0,None,NA,NA,Scopus; DOAJ; Dimensions,NA,NA,1,0,0,0,1,1,0,0
kamalakar2023,2023-11-08,Journal,Multidisciplinary Journal of Current Research,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
kanjarla2023,2023-06-12,Journal,European Journal of Mass Spectrometry,1469-0667,Confirmed,Sage,1,Hybrid,3950,USD,Medline; Web of Science; Scopus; Dimensions; Embase,Corrigendum,2023-08-01,0,1,0,0,0,0,0,0
kapil2022,2022,Journal,NeuroQuantology,1303-5150,Confirmed,NA,0,Unknown,NA,NA,Web of Science; Scopus (discontinued); Dimensions,NA,NA,1,0,0,0,0,1,0,0
karnewar2023,2023-11-17,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
katiyar2024,2024-02-17,Journal,Journal of Engineering and Technology Management,1879-1719,Refers to different journal,NA,0,Full,100,USD,NA,NA,NA,0,0,1,0,0,0,0,0
kaur2023,2023-06,Conference,"International Conference on Computational Modelling, Simulation and Optimization",9798350326666,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
kausar2023,2023-04-02,Journal,Journal of Positive School Psychology,2717-7564,Refers to different journal,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
kaushik2023,2023-11-15,Journal,Edu Journal of International Affairs and Research,2583-9993,Provisional,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
kaushik2023a,2023-11-17,Journal,Edu Journal of International Affairs and Research,2583-9993,Provisional,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
kelly2020,2020-01-16,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
khairani2024,2024-01-31,Journal,International Journal of Research in Vocational Studies,2777-0141,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,1,0,0,0,1,1,1,0
khalaf2022,2022-12-01,Journal,International Journal of Education and Learning Research,2785-955X,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,1,0,0,1,1,1,1,1
khan2024,2024-02-07,Journal,British Journal of Multidisciplinary and Advanced Studies,2517-2778,Confirmed,NA,0,Full,80,GBP,Dimensions,NA,NA,1,0,0,0,0,1,0,1
khendke2023,2023-12-15,Journal,EPRA International Journal of Research and Development,2455-7838,Confirmed,NA,0,Full,80,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
khoria2023,2023,Journal,International Journal of Intelligent Communication and Computer Science,None,No ISSN,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
kiran2024,2024,Journal,United International Journal of Engineering and Sciences,2582-5887,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
kiritbhai2023,2023-12-11,Journal,International Journal of Research and Analytical Reviews,2348-1269,Confirmed,NA,0,Full,55,USD,Dimensions,NA,NA,1,0,0,0,1,1,1,1
konda2023,2023-09-30,Journal,International Journal of Computer Science and Technology,2709-5088,Confirmed,NA,0,Full,12000,PKR,NA,NA,NA,0,0,0,1,1,1,0,0
kotagiri2024,2024-03-25,Journal,Multimedia Tools and Applications,1573-7721,Confirmed,Springer,1,Hybrid,2990,USD,Web of Science; Compendex; Inspec; Dimensions; Scopus; ProQuest,NA,NA,1,0,0,0,0,1,1,1
kowalski2023,2023-04-21,Journal,International Journal of Transcontinental Discoveries,3006-628X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
krishna2023,2023-09-04,Journal,IEEE Access,2169-3536,Confirmed,IEEE,1,Full,1995,USD,Scopus; Web of Science; Dimensions; DOAJ,NA,NA,0,0,1,0,0,0,0,0
krishnarji2024,2024-04,Journal,International Journal for Innovative Engineering and Management Research,2456-5083,Confirmed,NA,0,Full,150,USD,NA,NA,NA,1,0,0,0,0,1,1,0
kudavalli2023,2023-07-18,Journal,Contemporaneity of English Language and Literature in the Robotized Millennium,2583-7370,Provisional,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,1,0,1,0,0
kulasekhar2023,2023-10-30,Journal,European Economic Letters,2323-5233,Confirmed,NA,0,Full,300,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
kulkarni2023,2023,Journal,Education and Society,2278-6864,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
kumar2021,2021,Journal,"Journal of Mathematical Problems, Equations and Statistics",2709-9393,Confirmed,NA,0,Full,55,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
kumar2022,2022-01,Journal,Vidhigya,0973-3825,Confirmed,NA,0,Unknown,NA,NA,Dimensions,NA,NA,1,0,0,0,0,1,0,0
kumar2023,2023-09-21,Journal,Journal of Population Therapeutics & Clinical Pharmacology,2561-8741,Confirmed,NA,0,Full,850,USD,Dimensions; Medline (discontinued); Web of Science; Scopus (discontinued); Embase,NA,NA,1,0,0,0,0,1,1,1
kumar2023a,2023-11-26,Journal,International Journal of Modern Trends in Science and Technology,2455-3778,Confirmed,NA,0,Full,70,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
kumar2023b,2023-10-31,Journal,International Journal of Novel Research and Development,2456-4184,Confirmed,NA,0,Full,59,USD,NA,NA,NA,1,0,0,0,0,1,0,0
kumar2023c,2023-07-08,Journal,Turkish Journal of Computer and Mathematics Education,1309-4653,Confirmed,NA,0,Full,1295,USD,Dimensions; ProQuest,NA,NA,0,0,1,0,0,0,0,0
kumar2024,2024-01-15,Journal,Heliyon,2405-8440,Confirmed,Elsevier,1,Full,2160,USD,DOAJ; Web of Science; Scopus; PubMed Central; Dimensions,NA,NA,1,0,0,0,0,1,0,1
kuna2024,2024-03-01,Journal,International Journal of Biological Macromolecules,0141-8130,Confirmed,Elsevier,1,Full,4260,USD,Scopus; Medline; Dimensions; Science Direct,NA,NA,1,0,0,0,0,1,0,0
lamba2024,2024-01-10,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
laskawiec-zulawinska2023,2023-12-29,Journal,Applied Psychology Research,3029-276X,Confirmed,NA,0,Full,800,USD,NA,NA,NA,0,0,1,0,0,0,0,0
lavanya2023,2023,Journal,Journal of Engineering Sciences,0377-9254,Confirmed,NA,0,Full,1200,INR,NA,NA,NA,0,0,1,0,0,0,0,0
lavanya2023a,2023-07-14,Journal,"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",2456-3307,Confirmed,NA,0,Full,45,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
laxmi2024,2024-02,Journal,International Journal of Applied Science Engineering and Management,2454-9940,Confirmed,NA,0,Full,100,USD,NA,NA,NA,1,0,0,0,0,1,0,1
lazar2024,2024-05-01,Journal,Trends in Food Science & Technology,0924-2244,Confirmed,Elsevier,1,Hybrid,5270,USD,Dimensions; Scopus; Web of Science,NA,NA,0,0,1,0,0,0,0,0
lestary2023,2023-06-26,Journal,"Jurnal Audit, Pajak, Akuntansi Publik",2830-0645,Confirmed,NA,0,Unknown,NA,NA,Dimensions,NA,NA,0,0,0,1,0,1,0,0
li2023,2023-10-01,Journal,Environmental Science and Pollution Research,1614-7499,Confirmed,Springer,1,Hybrid,3990,USD,Web of Science; Scopus; Medline; Dimensions; Compendex; ProQuest,Retraction,2024-07-01,0,1,0,0,0,0,0,0
likert2019,2019-07-06,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
likert2021,2021-07-10,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
likert2023,2023-07-29,Journal,International Journal of Research and Review Techniques,3006-1075,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
liu2015,2015-02-07,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,1
liu2024,2024-01-25,Journal,Journal of Electrical Systems,1112-5209,Confirmed,NA,0,Unknown,NA,NA,Web of Science; Scopus; Dimensions; Compendex; ProQuest,NA,NA,1,0,0,0,0,1,0,0
liu2024a,2024-01-01,Journal,TrAC Trends in Analytical Chemistry,0165-9936,Confirmed,Elsevier,1,Hybrid,5000,USD,Web of Science; Scopus; Dimensions,NA,NA,0,0,1,0,0,0,0,0
lowe2023,2023-09-29,Journal,International Research Journal of Modernization in Engineering Technology and Science,2582-5208,Confirmed,NA,0,Full,23,USD,Dimensions,NA,NA,1,0,0,0,1,1,1,1
lowe2024,2024-03-01,Journal,Journal of Informatics Education and Research,1526-4726,Confirmed,NA,0,Full,300,USD,NA,NA,NA,1,0,0,0,0,1,1,1
m2023,2023-05-04,Conference,International Conference on Applied Artifical Intelligence and Computing,978-1-66545-630-2,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,0,0
m2023a,2023-11-22,Conference,"International Conference on Electronics, Communication and Aerospace Technology",9798350340600,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
mahajan2023,2023-11-30,Journal,International Journal of Management Thinking,3009-0016,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,1
mahesar2023,2023-12-31,Journal,Al-Qamar,2664-4398,Confirmed,NA,0,Full,25000,PKR,NA,NA,NA,1,0,0,0,0,1,0,0
maheshwari2023,2023,Journal,Indian Journal of Business Administration,0975-6825,Confirmed,NA,0,None,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
mahjouby2024,2024-02-23,Journal,International Journal of Intelligent Systems and Applications in Engineering,2147-6799,Confirmed,NA,0,Full,600,USD,Scopus,NA,NA,1,0,0,0,0,1,0,0
maksuti2023,2023-12-15,Journal,Journal of Marketing and Emerging Economics,2792-4009,Confirmed,NA,0,Full,20,USD,NA,NA,NA,1,0,0,0,0,1,0,1
malicixhelili2024,2024-01,Journal,Vizione,1409-8962,Confirmed,NA,0,Full,120,EUR,NA,NA,NA,1,0,0,0,0,1,0,0
malik2023,2023-09-21,Journal,International Journal of Intelligent Systems and Applications in Engineering,2147-6799,Confirmed,NA,0,Full,600,USD,Scopus,NA,NA,0,0,1,0,0,0,0,0
mamedov2023,2023-11-13,Journal,Norwegian Journal of Development of the International Science,3453-9875,Invalid,NA,0,Full,32,EUR,NA,NA,NA,0,0,1,0,0,0,0,0
maniatis2023,2023-05-16,Journal,International Journal of Multidisciplinary Research and Analysis,2643-9840,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,0,1,0,0,0,0,0,0
maniatis2023a,2023-11-03,Journal,"European Journal of Science, Innovation and Technology",2786-4936,Confirmed,NA,0,Full,90,USD,NA,NA,NA,0,0,1,0,0,0,0,0
manj2023,2023-11-05,Journal,Al-Qantara,1988-2955,Confirmed,NA,0,None,NA,NA,Web of Science; DOAJ; Scopus; Dimensions,NA,NA,1,0,0,0,0,1,0,0
margenov2023,2023-05-10,Journal,Mathematics,2227-7390,Confirmed,MDPI,1,Full,2600,CHF,DOAJ; Scopus; Web of Science; Dimensions,NA,NA,1,0,0,0,0,0,0,0
marouani2023,2023-09-07,Journal,Processes,2227-9717,Confirmed,MDPI,1,Full,2400,CHF,Web of Science; Scopus; Dimensions,NA,NA,0,0,1,0,0,0,0,0
martin2021,2021-01-04,Journal,International Journal of Open Publication and Exploration,3006-2853,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
martin2023,2023-03-03,Journal,"International Journal of Sports, Yoga and Physical Activity",3005-5083,Confirmed,NA,0,Full,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
marzouk2023,2023-10-01,Journal,Journal of Communication Sciences and Information Technology,2812-5630,Confirmed,NA,0,Unknown,NA,NA,Dimensions,NA,NA,1,0,0,0,0,1,0,1
masakure2023,2023-08-25,Conference,Asian Conference on Innovation in Technology,9798350302288,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
mateen2023,2023-12-05,Journal,Journal of Commputing & Biomedical Informatics,2710-1614,Confirmed,NA,0,Full,100,USD,NA,NA,NA,1,0,0,0,0,1,1,0
mathappan2023,2023-05-18,Journal,Concurrency and Computation,1532-0634,Confirmed,Wiley,1,Hybrid,4900,USD,Compendex; Inspec; Web of Science; Scopus; Dimensions,NA,NA,0,0,0,0,0,0,0,0
mathur2023,2023-12-21,Journal,Journal of Ophthalmology Research Reviews & Reports,2754-4990,Confirmed,NA,0,Full,3619,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
mattar2023,2023-10,Journal,International Journal of Academic Engineering Research,2643-9085,Confirmed,NA,0,None,NA,NA,NA,NA,NA,1,0,0,0,0,1,1,1
mehmood2023,2023-09-30,Journal,Journal of Asian Development Studies,None,No ISSN,NA,0,Full,100,USD,NA,NA,NA,0,0,1,0,0,0,0,0
mehta2023,2023-05-08,Journal,International Journal of New Media Studies,2394-4331,Confirmed,NA,0,Full,70,USD,NA,NA,NA,1,0,0,0,0,1,0,0
mekuriaw2023,2023-01-01,Journal,Abyssinia Journal of Engineering and Computing,2788-6247,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
minzatu2024,2024-03-01,Journal,IOP Conference Series: Materials Science and Engineering,1757-899X,Confirmed,IOP,1,None,NA,NA,Dimensions,NA,NA,1,0,0,0,0,1,1,1
mishra2023,2023-09-29,Journal,International Journal of Environment and Climate Change,2581-8627,Confirmed,NA,0,Full,500,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
mnekhir2023,2023-04-07,Journal,Russian Law Journal,2309-8678,Confirmed,NA,0,None,NA,NA,Scopus (discontinued); Web of Science,NA,NA,0,0,1,0,0,0,0,0
mohamed2023,2023-10-01,Journal,Toxicology,0300-483X,Confirmed,Elsevier,1,Hybrid,4050,USD,Web of Science; Scopus; Embase; Medline; Dimensions,Stealth revision,NA,0,1,0,0,0,0,0,0
mohan2023,2023-11-22,Conference,"International Conference on Electronics, Communication and Aerospace Technology",9798350340600,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
mohite2022,2022-01,Journal,"International Journal of Management, IT & Engineering",2249-0558,Confirmed,NA,0,Full,80,USD,NA,NA,NA,0,0,0,0,1,1,0,0
mohith2024,2024,Journal,International Journal of Electrical and Data Communication,2708-3977,Confirmed,NA,0,Unknown,NA,NA,Dimensions,NA,NA,1,0,0,0,0,1,0,0
moussa2023,2023-09-10,Journal,"Journal of Poverty, Investment and Development",2520-5196,Refers to different journal,NA,0,Full,150,USD,NA,NA,NA,0,0,1,0,0,0,0,0
mubita2023,2023-04-10,Journal,International Journal of Social Science and Education Research Studies,2770-2782,Confirmed,NA,0,Full,NA,NA,Dimensions,NA,NA,0,0,1,0,0,0,0,0
muturi2023,2023-08-24,Journal,"Journal of Poverty, Investment and Development",2520-5196,Refers to different journal,NA,0,Full,150,USD,NA,NA,NA,0,0,1,0,0,0,0,0
mv2023,2023-07-06,Conference,International Conference on Computing Communication and Networking Technologies,9798350335095,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
nabijonova2023,2023-10-31,Journal,Academic Research in Modern Science,None,No ISSN,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,0
nadia2024,2024-06-27,Journal,El-Manhel Economy,2710-8236,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
nagagopiraju2024,2024-03-04,Journal,Turkish Journal of Computer and Mathematics Education,1309-4653,Confirmed,NA,0,Full,1295,USD,Dimensions; ProQuest,NA,NA,0,0,1,0,0,0,1,0
nagar2023,2023-10-12,Journal,Journal of Advanced Zoology,0253-7214,Confirmed,NA,0,Full,999,USD,Web of Science; Scopus (discontinued); Dimensions,NA,NA,1,0,0,0,0,1,1,1
nagaraj2023,2023-12-21,Conference,"International Conference on Data Science, Agents & Artificial Intelligence",9798350348910,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
nanda2023,2023-06-14,Journal,European Economic Letters,2323-5233,Confirmed,NA,0,Full,300,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
nanda2024,2024-01-31,Journal,Analytical and Bioanlytical Electrochemistry,2008-4226,Confirmed,NA,0,Unknown,NA,NA,Web of Science; Scopus,NA,NA,0,1,0,0,0,0,0,0
nandan2023,2023-03,Journal,Mukt Shabd Journal,2347-3150,Confirmed,NA,0,Full,2000,INR,NA,NA,NA,0,1,0,0,0,0,0,0
narayanan2014,2014-04-15,Journal,International Journal of Transcontinental Discoveries,3006-628X,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,1,1,0,1
naser2024,2024-03,Journal,International Journal of Exclusive Management Research,2249-2585,Confirmed,NA,0,Full,2500,INR,NA,NA,NA,0,0,1,0,0,0,0,0
nazarpour2023,2023-05,Journal,Advances in Mathematical Finance and Applications,2538-5569,Confirmed,NA,0,Full,3000000,IRR,DOAJ,NA,NA,0,1,0,0,0,0,0,0
neve2023,2023-12-01,Journal,Journal of Advanced Zoology,0253-7214,Confirmed,NA,0,Full,999,USD,Web of Science; Scopus (discontinued); Dimensions,NA,NA,0,1,0,0,0,0,0,0
nilufar2023,2023-09-23,Journal,Science and Innovation,2181-3337,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
niu2024,2024-01-05,Journal,Herança,2184-3090,Confirmed,NA,0,Full,450,EUR,Web of Science; Scopus,NA,NA,0,0,1,0,0,0,0,0
noila2024,2024-04-20,Journal,Ta'lim innovatsiyasi va integratsiyasi,3030-3621,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
obeagu2024,2024-03-01,Journal,Medicine,0025-7974,Confirmed,Wolters Kluwer,1,Full,1970,USD,Medline; PubMed Central; DOAJ; Web of Science; Scopus; Dimensions,NA,NA,1,0,0,0,0,1,0,1
ofei2024,2024-01-24,Journal,International Journal of Research Publication and Reviews,2582-7421,Provisional,NA,0,Full,20,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,0
ogugua2023,2023-08-01,Journal,Environmental Science and Pollution Research,1614-7499,Confirmed,Springer,1,Hybrid,3990,USD,Web of Science; Scopus; Medline; Dimensions; Compendex; ProQuest,NA,NA,1,0,0,0,0,0,0,0
okeke2023,2023,Journal,International Journal of Studies in Education,2636-6320,Confirmed,NA,0,Full,5000,NGN,NA,NA,NA,0,0,1,0,0,0,0,0
okhunov2024,2024-01-13,Journal,World Economics and Finance Bulletin,2749-3628,Confirmed,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0,0,1,0,0
okwudibe2023,2023-09-09,Journal,"International Journal of Strategic Research in Education, Technology and Humanities",2465-731X,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,0,0,1,0,0,0,0,0
p2023,2023-11-22,Conference,"International Conference on Electronics, Communication and Aerospace Technology",9798350340600,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
pagare2024,2024-04,Journal,World Journal of Pharmaceutical Research,2277-7105,Confirmed,NA,0,Full,50,USD,Dimensions,NA,NA,1,0,0,0,0,1,0,1
pai2023,2023-11-18,Journal,International Journal of Pharmaceutical Sciences,0975-4725,Confirmed,NA,0,Full,20,USD,NA,NA,NA,0,0,1,0,0,0,1,0
palsodkar2023,2023-05-26,Conference,International Conference for Emerging Technology,9798350335750,Confirmed,IEEE,1,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0
palupi2024,2024-02-02,Conference,International Conference on Advanced Informatics and Intelligent Information Systems,978-94-6463-366-5,Confirmed,Springer,1,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,0,0
